gem_id,plant_name,country,parent_raw,ret_year,event_date,capacity_mw,lat,lon,matched_gvkeys,is_matched,is_first_mover,announcement_date,announcement_source
G100000114384,Laoling Leyuan cogen power station,China,Shandong Starlight Sugar Industry Co Ltd [90.0%]; Taishan Sports Industry Group Co Ltd [10.0%],2023,,30.0,37.747809,117.223656,,False,False,,
G100000114383,Linqing Yunhe cogen power station,China,Linqing Zhongzhou Investment Operation Group Co Ltd [51.9%]; China Nonferrous Metal Mining (Group) Co Ltd [38.0%]; CNMC Albetter Copper Co Ltd [9.5%]; unknown [0.7%],2023,,48.0,36.855469,115.733975,,False,False,,
G100000106325,Linyi power station,China,Huaneng Power International Inc [60.0%]; Linyi Investment Development Co Ltd [22.5%]; China Huaneng Group Co Ltd [15.0%]; Shandong Caixin Asset Operation Co Ltd [2.5%],2023,,140.0,35.00713,118.32388,030747,True,False,,
G100000106358,Liyan power station,China,Shandong Lineng Group Co Ltd [67.3%]; Shandong Qilu Xinhang Group Co Ltd [32.7%],2023,,145.0,35.343898,116.791609,,False,False,,
G100000106359,Liyan power station,China,Shandong Lineng Group Co Ltd [67.3%]; Shandong Qilu Xinhang Group Co Ltd [32.7%],2023,,145.0,35.343898,116.791609,,False,False,,
G100000112889,Liyan power station,China,Shandong Lineng Group Co Ltd [67.3%]; Shandong Qilu Xinhang Group Co Ltd [32.7%],2023,,145.0,35.343898,116.791609,,False,False,,
G100000112890,Liyan power station,China,Shandong Lineng Group Co Ltd [67.3%]; Shandong Qilu Xinhang Group Co Ltd [32.7%],2023,,145.0,35.343898,116.791609,,False,False,,
G100000112668,Qilu Works power station,China,China Petrochemical Corp [100.0%],2023,,65.0,36.7852045,118.2130666,,False,False,,
G100000108303,Qilu Works power station,China,China Petrochemical Corp [100.0%],2023,,60.0,36.7852045,118.2130666,,False,False,,
G100000112669,Qilu Works power station,China,China Petrochemical Corp [100.0%],2023,,60.0,36.7852045,118.2130666,,False,False,,
G100000114068,Shaanxi Yulin Kaiyue Coal Chemical power station,China,Shaanxi Yanchang Petroleum (Group) Co Ltd [85.5%]; Chang'an Huitong Co Ltd [10.0%]; unknown [4.5%],2023,,50.0,38.144573,109.60078,,False,False,,
G100000112802,Shandong Hualu Hengsheng power station,China,Shandong HUALU-HENGSHENG Chemical Co Ltd [100.0%],2023,,60.0,37.462342,116.242966,,False,False,,
G100000112803,Shandong Hualu Hengsheng power station,China,Shandong HUALU-HENGSHENG Chemical Co Ltd [100.0%],2023,,50.0,37.462342,116.242966,,False,False,,
G100000109235,Shanghai Shidongkou power station,China,Huaneng Power International Inc [100.0%],2023,,325.0,31.4650719,121.4048433,030747,True,False,,
G100000109236,Shanghai Shidongkou power station,China,Huaneng Power International Inc [100.0%],2023,,325.0,31.4650719,121.4048433,030747,True,False,,
G100000114879,Wudi Zhongcheng Lubei cogen power station,China,Wudi Xinyue Chemical Group Co Ltd [100.0%],2023,,50.0,38.091941,117.762002,,False,False,,
G100000114435,Wudi Zhongcheng Sanyue cogen power station,China,Wudi Xinyue Chemical Group Co Ltd [100.0%],2023,,30.0,38.099627,117.76159,,False,False,,
