gem_id,plant_name,country,ret_year,wiki_url,extracted_date,date_precision,raw_snippet
G100000110210,Tocopilla power station,Chile,2019,https://www.gem.wiki/Tocopilla_power_station,2019-12-15,month,[26] In December 2019 Engie announced that Units 14 and 15 would be retired in January 2022 instead of a previously planned date of May 2024
G100000115724,Tomskaya GRES-2 power station,Russia,2020,https://www.gem.wiki/Tomskaya_GRES-2_power_station,,,
G100000115725,Tomskaya GRES-2 power station,Russia,2020,https://www.gem.wiki/Tomskaya_GRES-2_power_station,,,
G100000115728,Tomskaya GRES-2 power station,Russia,2020,https://www.gem.wiki/Tomskaya_GRES-2_power_station,,,
G100000115729,Tomskaya GRES-2 power station,Russia,2020,https://www.gem.wiki/Tomskaya_GRES-2_power_station,,,
G100000110314,Trenton Channel Power Plant,United States,2015,https://www.gem.wiki/Trenton_Channel_Power_Plant,2014-07-24,day,"↑ ""DTE Energy to close two units at Trenton Channel Power Plant in 2016,"" News Herald, July 24, 2014"
G100000110333,Troitskaya GRES power station,Russia,2015,https://www.gem.wiki/Troitskaya_GRES_power_station,,,
G100000113424,Trombay power station,India,2016,https://www.gem.wiki/Trombay_power_station,,,
G100000110543,Valley Power Plant,United States,2015,https://www.gem.wiki/Valley_Power_Plant,,,
G100000110625,Vitry power station,France,2015,https://www.gem.wiki/Vitry_power_station,2015-04-15,month,The final two units at Vitry ceased operations in April 2015
G100000110626,Vitry power station,France,2015,https://www.gem.wiki/Vitry_power_station,2015-04-15,month,The final two units at Vitry ceased operations in April 2015
G100000110654,Vorkutinskaya-2 power station,Russia,2021,https://www.gem.wiki/Vorkutinskaya-2_power_station,,,
G100000110656,Vorkutinskaya-2 power station,Russia,2021,https://www.gem.wiki/Vorkutinskaya-2_power_station,,,
G100000110657,Vorkutinskaya-2 power station,Russia,2021,https://www.gem.wiki/Vorkutinskaya-2_power_station,,,
G100000110658,Vorkutinskaya-2 power station,Russia,2021,https://www.gem.wiki/Vorkutinskaya-2_power_station,,,
G100000110677,W.S. Lee Steam Station,United States,2015,https://www.gem.wiki/W.S._Lee_Steam_Station,,,
G100000110911,Weston Power Plant,United States,2015,https://www.gem.wiki/Weston_Power_Plant,,,
G100000110912,Weston Power Plant,United States,2015,https://www.gem.wiki/Weston_Power_Plant,,,
G100000110936,Widows Creek Fossil Plant,United States,2015,https://www.gem.wiki/Widows_Creek_Fossil_Plant,2015-10-15,month,In May 2015 TVA said it would close the last remaining unit 7 at its Widows Creek coal plant in October 2015
G100000110937,Widows Creek Fossil Plant,United States,2015,https://www.gem.wiki/Widows_Creek_Fossil_Plant,2015-10-15,month,In May 2015 TVA said it would close the last remaining unit 7 at its Widows Creek coal plant in October 2015
G100000110943,Will County Generating Station,United States,2015,https://www.gem.wiki/Will_County_Generating_Station,2015-04-15,month,In 2014 NRG announced that it will close one of its remaining two units at Will County Station by April 2015
G100000111336,Yates Steam Generating Plant,United States,2015,https://www.gem.wiki/Yates_Steam_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000111337,Yates Steam Generating Plant,United States,2015,https://www.gem.wiki/Yates_Steam_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000111338,Yates Steam Generating Plant,United States,2015,https://www.gem.wiki/Yates_Steam_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000111339,Yates Steam Generating Plant,United States,2015,https://www.gem.wiki/Yates_Steam_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000111340,Yates Steam Generating Plant,United States,2015,https://www.gem.wiki/Yates_Steam_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000111341,Yates Steam Generating Plant,United States,2015,https://www.gem.wiki/Yates_Steam_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000111342,Yates Steam Generating Plant,United States,2015,https://www.gem.wiki/Yates_Steam_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000111437,Yongdong power station,South Korea,2017,https://www.gem.wiki/Yongdong_power_station,,,
