gvkey,ric,free_float_pct,concentrated_ownership_pct,shares_outstanding,us_listed
269532,GNE.NZ,55.8454,44.1546,1308868024.0,0
269554,ROTEL.BX,29.8234,70.17660000000001,73303142.0,0
269744,ELI.BR,40.2699,59.7301,109148266.0,0
269977,KEGC.KZ,14.9988,85.0012,275292728.0,0
270113,000600.SZ,33.4419,66.5581,1803234376.0,0
270379,600452.SS,51.0435,48.9565,1536541654.0,0
270383,600483.SS,32.3513,67.64869999999999,2780137800.0,0
270401,600969.SS,55.8744,44.1256,370050484.0,0
270451,TRN.MI,69.9943,30.005700000000004,2005697373.0,0
270503,PTCI.NS,78.3048,21.6952,296008321.0,0
270698,600982.SS,45.7738,54.2262,1117627485.0,0
270721,600995.SS,24.289,75.711,3196005805.0,0
270890,600979.SS,59.2042,40.7958,1261656994.0,0
271031,9513.T,90.6353,9.3647,176008335.0,0
271146,PERC.PS,73.6123,26.387699999999995,568711842.0,0
271168,000899.SZ,28.0589,71.9411,975677760.0,0
271174,600101.SS,66.5662,33.433800000000005,547862471.0,0
271454,1711.T,66.7391,33.26090000000001,10432663.0,0
271486,DWLP.PSX,12.3077,87.6923,59299809.0,0
271762,600396.SS,40.2623,59.7377,1472706817.0,0
271952,600116.SS,43.9019,56.0981,1912142904.0,0
272031,000791.SZ,19.2756,80.7244,3243839742.0,0
272049,000862.SZ,47.633,52.367,917954696.0,0
272146,000591.SZ,63.1223,36.8777,3925800512.0,0
272184,000993.SZ,43.5184,56.4816,457951455.0,0
272200,002039.SZ,52.8006,47.1994,427558126.0,0
272255,9514.T,55.7068,44.2932,21155584.0,0
272290,600310.SS,45.4238,54.5762,1465710722.0,0
272293,000690.SZ,76.6813,23.318700000000007,2175887862.0,0
272327,600509.SS,63.1214,36.8786,1374397407.0,0
272358,600505.SS,42.9895,57.0105,364567500.0,0
272468,001896.SZ,36.8014,63.1986,1525781330.0,0
272651,EQPA3.SA,2.8437,97.1563,2204620569.0,0
273010,CIEC.CI,100.0,0.0,56000000.0,0
274166,KOTA.PSX,100.0,0.0,880253228.0,0
274188,YKEN.MM,16.82,83.18,10187741424.0,0
274222,5110.SE,18.763,81.237,4166593815.0,0
274724,ENGIEC1.LM,38.2279,61.7721,601370011.0,0
274890,DRX.L,99.278,0.7219999999999942,336215396.0,0
275034,BWPC.OM,32.0527,67.9473,160000000.0,0
275787,LIGT3.SA,79.4964,20.503600000000006,372555324.0,0
277963,GLVT.SI,24.4057,75.5943,5463155283.0,0
277997,VGSB.MM,8.8073,91.1927,319595965.0,0
278001,VRSB.MM,13.5862,86.4138,56151024.0,0
278009,ASSB.MM,11.0162,88.9838,773900078.0,0
278027,ELFV.MM,27.39,72.61,35371898370.0,0
278048,MAGE.MM,51.0,49.0,463839000.0,0
278054,MISB.MM,7.3819,92.6181,121847780.0,0
278060,RZSB.MM,9.48,90.52,206940220.0,0
278074,MSRS.MM,16.66,83.34,48707091574.0,0
278093,NNSB.MM,6.84,93.16,3919400.0,0
278333,GVKP.NS,45.7495,54.2505,1579210400.0,0
278335,EQTL3.SA,99.9987,0.001300000000000523,1258124081.0,0
278467,TORS.MM,4.7,95.3,3819315580.0,0
278497,LPSB.MM,8.9886,91.0114,155521950.0,0
278501,MRSB.MM,16.05,83.95,1345037710.0,0
278508,TASB.MM,9.576,90.424,1525986880.0,0
278760,OGKB.MM,100.0,0.0,158725099589.0,0
278784,UPRO.MM,16.2676,83.7324,63048706145.0,0
281448,PGCB.DH,100.0,0.0,913806991.0,0
281712,TAEE11.SA,100.0,0.0,344498907.0,0
281784,ASCI.MI,39.0247,60.9753,216437856.0,0
282044,KEGN.NR,29.2173,70.7827,6594522339.0,0
282550,ALMIN.PA,38.2199,61.7801,5960116.0,0
282813,TGKA.MM,100.0,0.0,3854341416571.0,0
283066,VSH.HM,16.7186,83.2814,236241246.0,0
284321,TGKB.MM,15.6411,84.3589,1458404850747.0,0
285082,SLRS.MC,53.025,46.975,121230553.0,0
285317,RENE.LS,52.7185,47.2815,663309888.0,0
285367,AP.PS,15.9847,84.0153,7205854307.0,0
285372,TPC.AX,24.593,75.407,11342857.0,0
286048,EDCO.NS,41.8105,58.1895,47500000.0,0
286302,ENEFI.BU,75.2159,24.784099999999995,9067102.0,0
286434,PGRD.NS,47.386,52.614,9300603819.0,0
286567,GEB.CN,27.2351,72.7649,9181177017.0,0
287670,ENEV3.SA,72.8312,27.168800000000005,1915804368.0,0
287673,HYDR.MM,27.5468,72.4532,440844851352.0,0
287783,DESC.DH,13.3413,86.6587,397569804.0,0
287910,002210.SZ,65.8671,34.13290000000001,2661232774.0,0
288013,PPC.HM,43.5091,56.4909,320613054.0,0
288128,CECZ.LZ,100.0,0.0,1625000000.0,0
288590,MRKP.MM,43.32,56.68,112697817043.0,0
288919,MRKZ.MM,100.0,0.0,95785923140.0,0
288946,OPG.SG^B26,16.255,83.745,246964126.0,0
288970,EDPR.LS,28.6753,71.3247,1051033116.0,0
289052,MRKS.MM,3.3553,96.6447,94815163249.0,0
289075,MRKC.MM,33.31,66.69,42217941468.0,0
289080,MRKK.MM,1.77,98.23,2093354170.0,0
289215,MRKY.MM,15.8367,84.16329999999999,147499090541.0,0
289247,MRKU.MM,15.3869,84.6131,87430485711.0,0
289409,MRKV.MM,5.15,94.85,188307958733.0,0
289434,IRAO.MM,4.3702,95.6298,70408630000.0,0
290146,TGKN.MM,20.68,79.32,1357945609114.0,0
290445,ENAE.WA,47.7064,52.2936,529731093.0,0
290760,TBC.HM,9.5589,90.4411,63500000.0,0
290769,KHP.HM,46.1336,53.8664,60376746.0,0
290987,SJD.HM,49.017,50.983,68998620.0,0
291049,VNE.HM,74.387,25.613,82055233.0,0
291340,CEED3.SA,15.17,84.83,68090916.0,0
291420,EQMA3B.SO,100.0,0.0,161318939.0,0
292210,TMP.HM,5.423,94.577,70000000.0,0
292219,MREK.KZ,1.2804,98.7196,2009738.0,0
292414,ENLT.TA,95.0421,4.957899999999995,139195342.0,0
293416,BTP.HM,20.4327,79.5673,60485600.0,0
293530,PGE.WA,38.3032,61.6968,2243712994.0,0
293593,FHE.AX,59.6411,40.3589,562572215.0,0
293862,KRSB.MM,8.4056,91.59440000000001,596039612.0,0
293879,KCHE.MM,71.85000000000001,28.14999999999999,58293518896.0,0
293904,PMSB.MM,48.15,51.85,36210960.0,0
293912,KBSB.MM,9.81,90.19,17869440.0,0
293977,STSB.MM,8.4113,91.5887,859074636.0,0
294656,SJVN.NS,18.1509,81.84909999999999,3929795175.0,0
294966,TPE.WA,59.547,40.453,1589438762.0,0
295626,GUNKUL.BK,39.2997,60.7003,8601610974.0,0
295734,AFLT3.SA,1.3251,98.6749,63084700.0,0
295874,GPAR3.SA,9.77,90.23,79676502.0,0
296299,130660.KS,39.9671,60.0329,32600000.0,0
296362,LGD1L.VL,2.4974,97.5026,504331380.0,0
297621,DNC.HN,17.9309,82.06909999999999,10034681.0,0
298150,DEWAA.DU,18.0,82.0,50000000000.0,0
