gvkey,fdate,total_inst_shares,n_managers,hhi_managers,top5_concentration,shrout_thousands,inst_pct,inst_pct_capped
010860,2022-03-31,195322072.0,668,0.05452283118411559,0.4509628435643464,258092.0,756.7924306061404,1.0
010860,2022-06-30,199631884.0,677,0.05550956095726614,0.46142024086693484,258400.0,772.5692105263158,1.0
010860,2022-09-30,203207376.0,673,0.05249522169809815,0.44278935032358274,258500.0,786.1020348162476,1.0
010860,2022-12-31,204782848.0,693,0.052708761076214763,0.45155487826792995,262000.0,781.6139236641221,1.0
010860,2023-03-31,198183895.0,680,0.05641360083596459,0.47341798383768774,262600.0,754.6987623762376,1.0
010860,2023-06-30,203248343.0,687,0.05405507854010796,0.4569924882487234,262700.0,773.6899238675295,1.0
010860,2023-09-30,206197944.0,689,0.05143197869368823,0.4445604122997463,262900.0,784.320821605173,1.0
010860,2023-12-31,209922288.0,680,0.05491251747374033,0.46320370231482993,262945.0,798.3505600030425,1.0
010860,2024-03-31,208542957.0,662,0.058275263890669324,0.47644699408381364,266600.0,782.2316466616654,1.0
010860,2024-06-30,209388555.0,686,0.05946785770789621,0.4857719229210021,266670.0,785.1972662841714,1.0
010860,2024-09-30,213589217.0,706,0.06224125323479356,0.5025096749149092,266817.0,800.5082772087236,1.0
010860,2024-12-31,220364441.0,756,0.06057109626786581,0.49950180936859956,269900.0,816.4669914783253,1.0
010860,2025-03-31,221284645.0,829,0.0608416192703564,0.49160203140168174,270300.0,818.663133555309,1.0
010860,2025-06-30,230891049.0,828,0.06012233449373559,0.4892964733336198,270400.0,853.8870155325444,1.0
010860,2025-09-30,230232104.0,852,0.06035735784927346,0.49546725247318246,270410.0,851.4186013830849,1.0
010905,2008-03-31,13127109.0,109,0.04360348040078553,0.379307660201496,25160.0,521.7451907790144,1.0
010905,2008-06-30,13585778.0,112,0.04314601065373906,0.38626834620733536,25214.0,538.8188308082811,1.0
010905,2008-09-30,12798823.0,109,0.04985054142091835,0.399471967070722,25250.0,506.8840792079208,1.0
010905,2008-12-31,11840354.0,124,0.047341349895529745,0.36157457792224795,25258.0,468.7763876791512,1.0
010905,2009-03-31,11400831.0,109,0.05089518620133002,0.3928610116227493,25274.0,451.08930125821,1.0
010905,2009-06-30,15478624.0,117,0.043798035482516075,0.3617738243399413,29328.0,527.7763229678123,1.0
010905,2009-09-30,14219089.0,111,0.05239120874457839,0.4067052396957358,29930.0,475.07814901436683,1.0
010905,2009-12-31,14021779.0,116,0.050909271257443676,0.382311759442222,29930.0,468.48576678917476,1.0
010905,2010-03-31,14712811.0,123,0.048470966076423344,0.3857559918359585,29930.0,491.57403942532574,1.0
010905,2010-06-30,13278921.0,124,0.05483172308818596,0.40149459432735535,29983.0,442.88166627755726,1.0
010905,2010-09-30,32589100.0,177,0.03328869772971167,0.3256774811209883,47775.0,682.1371009942438,1.0
010905,2010-12-31,31266279.0,155,0.04793635530989285,0.40840865649538916,50430.0,619.9936347412255,1.0
010905,2011-03-31,32773744.0,155,0.05907031837238439,0.4560944272952153,50500.0,648.9850297029703,1.0
010905,2011-06-30,33260717.0,161,0.060305179210127444,0.4813617818280947,50527.0,658.2761098026798,1.0
010905,2011-09-30,33442922.0,166,0.05755455499713971,0.47635087029775686,50543.0,661.6726747521913,1.0
010905,2011-12-31,33076759.0,174,0.05726853960790785,0.4616560528194434,50543.0,654.4280909324733,1.0
010905,2012-03-31,32144634.0,171,0.055454911400582826,0.45471287680550354,50646.0,634.6924535007701,1.0
010905,2012-06-30,30379699.0,173,0.05037008017481326,0.4264895448766625,50650.0,599.7966238894373,1.0
010905,2012-09-30,29636038.0,166,0.052189526251778244,0.42854712900557085,50665.0,584.9410441132932,1.0
010905,2012-12-31,30905163.0,171,0.05925056080793607,0.4745631660315139,50665.0,609.9903878417053,1.0
010905,2013-03-31,31338111.0,178,0.06271572108118466,0.4880906191186827,50696.0,618.1574680448161,1.0
010905,2013-06-30,31779437.0,186,0.06048692498700018,0.4739632423318261,50699.0,626.8257164835599,1.0
010905,2013-09-30,36035244.0,191,0.05688532954420242,0.4641151035358606,55713.0,646.8013569543913,1.0
010905,2013-12-31,37960430.0,181,0.058282725189831616,0.4705773353989931,56463.0,672.306289074261,1.0
010905,2014-03-31,39549837.0,203,0.05359796992180779,0.44225226516104227,56531.0,699.6132564433674,1.0
010905,2014-06-30,38099294.0,196,0.0475551315589892,0.40505908062233387,56533.0,673.9301646825747,1.0
010905,2014-09-30,38202765.0,217,0.04591048638226659,0.4007189793723046,56546.0,675.6050825876277,1.0
010905,2014-12-31,37913430.0,218,0.05026071794369732,0.41915400426708954,56546.0,670.4882750327167,1.0
010905,2015-03-31,40149331.0,212,0.04981191378530511,0.42999662933362454,56617.0,709.1391454863381,1.0
010905,2015-06-30,41570750.0,204,0.056817203988066445,0.47591053805861094,56617.0,734.2450147482205,1.0
010905,2015-09-30,41218705.0,199,0.060309047237862685,0.4937357687486785,56629.0,727.8727330519698,1.0
010905,2015-12-31,183467.0,6,0.35554241887754257,0.9995530531376214,56629.0,3.2398064595878435,1.0
010905,2016-03-31,18393.0,1,1.0,1.0,56629.0,0.3247982482473644,0.3247982482473644
010905,2016-06-30,18393.0,1,1.0,1.0,56629.0,0.3247982482473644,0.3247982482473644
010905,2018-09-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2018-12-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2019-06-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2019-09-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2019-12-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2020-03-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2020-06-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2020-09-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
