gvkey,month_end,log_size,log_bm,mom12_2,size_t,bm_t,mom_t
003897,2021-09-30,16.890240497325717,-0.3397781850617277,0.215557425555444,3,2,2
003897,2021-10-31,16.90468560744516,-0.3542232951811702,0.2746710093104565,3,2,2
003897,2021-11-30,16.859479660721377,-0.309017348457385,0.11090051975176007,3,2,2
003897,2021-12-31,16.95785627388773,-0.40739396162374036,0.10579581448012987,3,2,2
003897,2022-01-31,16.96527390176401,-0.4148115895000208,0.08554263371003268,3,2,2
003897,2022-02-28,16.974958031149516,-0.4244957188855253,0.2342015855211128,3,2,2
003897,2022-03-31,17.05867429919979,-0.5082119869357998,0.2539521958916642,3,2,2
003897,2022-04-30,17.049785199832723,-0.4993228875687334,0.1099462904259052,3,2,3
003897,2022-05-31,17.062433543211757,-0.5119712309477661,0.155650391348501,3,2,2
003897,2022-06-30,17.01648381388162,-0.800717135749856,0.1622734176177263,3,1,2
003897,2022-07-31,17.04410665554113,-0.828339977409363,0.24306113352489822,3,1,3
003897,2022-08-31,17.044413592314562,-0.828646914182798,0.11253501830968737,3,1,2
003897,2022-09-30,16.919633987891704,-0.7038673097599385,0.11499406255793154,3,1,2
003897,2022-10-31,16.893763188206048,-0.6779965100742803,0.19286654149374516,3,1,2
003897,2022-11-30,16.987505247487423,-0.771738569355656,0.04476876170692079,3,1,3
003897,2022-12-31,17.00052247334487,-0.7847557952131033,0.06514995945988589,3,1,2
003897,2023-01-31,16.99060362332009,-0.774836945188326,-0.008591103843140768,3,1,2
003897,2023-02-28,16.93196111910473,-0.7161944409729643,0.005172429902666531,3,1,2
003897,2023-03-31,16.930410377630906,-0.7146436994991402,-0.014240935950962763,3,1,2
003897,2023-04-30,16.9583133355211,-0.7425466573893361,-0.15126878670720467,3,1,1
003897,2023-05-31,16.91458108177508,-0.6988144036433145,-0.13741057320175065,3,1,1
003897,2023-06-30,16.936822601494708,-0.5584417689415591,-0.12594939459911558,3,1,1
003897,2023-07-31,16.975312022739136,-0.5969311901859845,-0.13060796350957005,3,1,1
003897,2023-08-31,16.874896971706264,-0.49651613915311277,-0.1280468090908935,3,1,1
003897,2023-09-30,16.83442959283472,-0.4560487602815713,-0.09440197251885263,3,1,1
003897,2023-10-31,16.804784163150554,-0.42640333059740615,-0.07834644780075872,3,1,1
003897,2023-11-30,16.882335972095188,-0.5039551395420373,-0.08358314375058706,3,1,2
003897,2023-12-31,16.939729152770063,-0.5613483202169135,-0.1402597936565162,3,1,2
003897,2024-01-31,16.894840311035587,-0.5164594784824368,-0.09079036995188561,3,1,2
003897,2024-02-29,16.92319479055455,-0.5448139580014018,-0.018457575122893144,3,1,2
003897,2024-03-31,16.959859778449122,-0.5814789458959736,-0.004572953161315896,3,1,2
003897,2024-04-30,16.943554911583266,-0.5651740790301174,0.015644690025209185,3,1,3
003897,2024-05-31,16.998318428683394,-0.6199375961302428,0.033961185799920024,3,1,3
003897,2024-06-30,16.949789965442775,-0.5038304523998437,0.06264986063062272,3,1,2
003897,2024-07-31,17.032469370537992,-0.5865098574950609,0.0886778775698911,3,1,2
003897,2024-08-31,17.069044410441407,-0.623084897398475,0.007467044057199779,3,1,2
003897,2024-09-30,17.095798955780925,-0.6498394427379911,0.20940769716753427,3,1,3
003897,2024-10-31,17.063016063088398,-0.6170565500454668,0.2947163121524936,3,1,2
003897,2024-11-30,17.075496225072598,-0.6295367120296672,0.38089743759500294,3,1,2
003897,2024-12-31,17.034684168489925,-0.5887246554469919,0.23665327253157153,3,1,2
004029,2008-01-31,17.02410426254328,,,3,,
004029,2008-02-29,16.9492288273988,,,3,,
004029,2008-03-31,16.9715124927076,,,3,,
004029,2008-04-30,17.03621814972266,,,3,,
004029,2008-05-31,17.102464188307533,,,3,,
004029,2008-06-30,17.127841389776375,-0.7169268822611209,,3,1,
004029,2008-07-31,17.058948678249006,-0.6480341707337525,,3,1,
