scope,return_model,block,regression,variable,beta,se,t,sig,n,clusters,r2,adj_r2
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12)",w_x_cond,0.629159,0.907092,0.69,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12)",same_sector,0.033749,0.01289,2.62,***,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",intercept,0.012393,0.027392,0.45,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",w_ij,-0.130003,0.604137,-0.22,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",conditional,0.014323,0.042521,0.34,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",w_x_cond,0.629159,1.509411,0.42,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",same_sector,0.033749,0.026093,1.29,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",intercept,-0.003557,0.007868,-0.45,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",w_ij,0.213218,0.186355,1.14,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",conditional,-0.006179,0.005494,-1.12,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",w_x_cond,-0.66591,0.393032,-1.69,*,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",same_sector,0.02547,0.008166,3.12,***,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",intercept,0.004382,0.005574,0.79,,72398,"175,",0.0009,0.0008
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",w_ij,0.439483,0.139743,3.14,***,72398,"175,",0.0009,0.0008
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",conditional,-0.003754,0.003661,-1.03,,72398,"175,",0.0009,0.0008
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",w_x_cond,-0.332701,0.239951,-1.39,,72398,"175,",0.0009,0.0008
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",same_sector,0.021534,0.004931,4.37,***,72398,"175,",0.0009,0.0008
