gem_parent,gem_norm,gvkey,conm,fic,isin,match_type,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,total_mw,alpha
China Power International Development Co Ltd,china power international development,103124,INTERNATIONAL POWER PLC,GBR,GB0006320161,comp_subset,12136.2,815.2,4049.0,1000.1,12951.4,18000.5,0.7195
ACWA Power Co,acwa power,350660,ACWA POWER COMPANY,SAU,SA15CGS10H12,exact_norm,0.0,10539.5,5921.8,870.0,10539.5,17331.3,0.6081
An Hui Wenergy Co Ltd,an hui wenergy,249946,AN HUI WENERGY CO LTD,CHN,CNE000000DF9,exact_norm,15948.5,900.0,0.0,250.0,16848.5,17098.5,0.9854
OGK-2 PJSC,ogk2,278760,OGK-2 JSC,RUS,RU000A0JNG55,exact_norm,4038.0,12239.0,0.0,0.0,16277.0,16277.0,1.0000
Dubai Electricity and Water Authority PJSC,dubai electricity and water authority,298150,DUBAI ELECTRICITY AND WATER,ARE,AED001801011,exact_norm,0.0,11914.7,3662.0,0.0,11914.7,15576.7,0.7649
LS Power Development LLC,ls power development,271031,ELEC POWER DEVELOPMENT CO,JPN,JP3551200003,jaccard_0.50,201.6,14927.5,175.0,146.3,15129.1,15450.4,0.9792
Electric Power Development Co Ltd,electric power development,271031,ELEC POWER DEVELOPMENT CO,JPN,JP3551200003,exact_norm,8463.5,6474.8,0.0,421.6,14938.3,15360.0,0.9725
Shenzhen Energy Group Co Ltd,shenzhen energy,251378,SHENZHEN ENERGY GROUP CO LTD,CHN,CNE000000933,exact_norm,6422.9,7665.8,0.0,1036.0,14088.6,15124.6,0.9315
PGE Polska Grupa Energetyczna SA,pge polska grupa energetyczna,293530,POLSKA GRUPA ENERGETYCZNA SA,POL,PLPGER000010,comp_subset,12609.4,2303.0,0.0,0.0,14912.4,14912.4,1.0000
Kansai Electric Power Co,kansai electric power,100302,KANSAI ELECTRIC POWER CO,JPN,JP3228600007,exact_norm,2626.3,11635.8,28.0,33.5,14262.1,14323.6,0.9957
NRG Energy Inc,nrg energy,135990,NRG ENERGY INC,USA,,exact_norm,6963.0,6311.1,0.0,978.4,13274.1,14252.4,0.9314
Shanghai Electric Power Co Ltd,shanghai electric power,201913,JORDAN ELECTRIC POWER CO,JOR,JO3100411011,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,100450,CHUBU ELECTRIC POWER CO INC,JPN,JP3526600006,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,100439,CHUGOKU ELECTRIC POWER CO,JPN,JP3522200009,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,100690,TOHOKU ELECTRIC POWER CO INC,JPN,JP3605400005,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,271031,ELEC POWER DEVELOPMENT CO,JPN,JP3551200003,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,260071,LESHAN ELECTRIC POWER CO LTD,CHN,CNE0000008T5,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,066624,TUCSON ELECTRIC POWER CO,USA,,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,100488,KYUSHU ELECTRIC POWER CO INC,JPN,JP3246400000,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,155277,POTOMAC ELECTRIC POWER CO,USA,,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,101769,SHIKOKU ELECTRIC POWER CO,JPN,JP3350800003,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,102311,HOKURIKU ELECTRIC POWER CO,JPN,JP3845400005,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,013353,WISCONSIN ELECTRIC POWER CO,USA,,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
