gem_parent,gem_norm,gvkey,conm,fic,isin,match_type,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,total_mw,alpha
Xintian Green Energy Co Ltd,xintian green energy,260062,SPIC GREEN ENERGY CO LTD,CHN,CNE000001CR4,jaccard_0.50,0.0,0.0,175.3,409.5,0.0,584.8,0.0000
Xintian Green Energy Co Ltd,xintian green energy,329188,GRAND GREEN ENERGY CO LTD,TWN,TW0006639008,jaccard_0.50,0.0,0.0,175.3,409.5,0.0,584.8,0.0000
Greenalia SA,greenalia,326097,GREENALIA SA,ESP,ES0105293007,exact_norm,0.0,0.0,517.0,67.0,0.0,584.0,0.0000
Xinjiang Lixin Energy Co Ltd,xinjiang lixin energy,353985,XINJIANG LIXIN ENE,CHN,CNE100005GM6,exact_norm,0.0,0.0,483.5,100.0,0.0,583.5,0.0000
Rio Alto Energias Renovaveis SA,rio alto energias renovaveis,347460,RIO ALTO ENERGIAS RENOVAVEIS,BRA,BRRIOSACNOR5,exact_norm,0.0,0.0,575.5,0.0,0.0,575.5,0.0000
Sakhalinenergo PJSC,sakhalinenergo,323569,SAKHALINENERGO JSC,RUS,RU0009280465,exact_norm,120.0,455.3,0.0,0.0,575.3,575.3,1.0000
Zhejiang New Energy Investment Group Co Ltd,zhejiang new energy investment,347411,ZHEJIANG PROVINCIAL NEW,CHN,CNE1000051S5,gem_subset,0.0,0.0,200.0,365.0,0.0,565.0,0.0000
Shanghai Electric Power New Energy Development Co Ltd,shanghai electric power new energy development,286048,ENERGY DEV CO LTD,IND,INE306C01019,jaccard_0.57,0.0,0.0,302.2,262.4,0.0,564.6,0.0000
Shanghai Electric Power New Energy Development Co Ltd,shanghai electric power new energy development,252355,CHINA POWER NEW ENERGY DEV,BMU,HK0000350550,jaccard_0.57,0.0,0.0,302.2,262.4,0.0,564.6,0.0000
Shanghai Electric Power New Energy Development Co Ltd,shanghai electric power new energy development,271031,ELEC POWER DEVELOPMENT CO,JPN,JP3551200003,jaccard_0.57,0.0,0.0,302.2,262.4,0.0,564.6,0.0000
Huadian International Ningxia New Energy Power CO LTDLiupanshan Branch,huadian international ningxia new energy power ltdliupanshan branch,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,comp_subset,0.0,0.0,0.0,560.0,0.0,560.0,0.0000
Huadian International Ningxia New Energy Power CO LTDLiupanshan Branch,huadian international ningxia new energy power ltdliupanshan branch,103124,INTERNATIONAL POWER PLC,GBR,GB0006320161,comp_subset,0.0,0.0,0.0,560.0,0.0,560.0,0.0000
Huadian International Ningxia New Energy Power CO LTDLiupanshan Branch,huadian international ningxia new energy power ltdliupanshan branch,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,0.0,560.0,0.0,560.0,0.0000
Ministry of Electric Power (North Korea),ministry of electric power north korea,030874,KEPCO-KOREA ELEC POWER CORP,KOR,KR7015760002,comp_subset,550.0,0.0,0.0,0.0,550.0,550.0,1.0000
Lotus Infrastructure Partners LP,lotus infrastructure partners lp,179216,BROOKFIELD INFRS PTRS LP,BMU,,jaccard_0.60,0.0,0.0,174.0,376.0,0.0,550.0,0.0000
Datang Huayin Power Co Ltd,datang huayin power,260021,DATANG HUAYIN ELECTRIC POWER,CHN,CNE000000M56,gem_subset,0.0,0.0,550.0,0.0,0.0,550.0,0.0000
Huadian Fuxin Energy Corp Ltd,huadian fuxin energy,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,comp_subset,0.0,0.0,152.0,398.0,0.0,550.0,0.0000
Huadian Fuxin Energy Corp Ltd,huadian fuxin energy,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,152.0,398.0,0.0,550.0,0.0000
Sichuan Chuantou Energy Co Ltd,sichuan chuantou energy,243860,SICHUAN CHUANTOU HOLDING CO,CHN,CNE000000BQ0,comp_subset,0.0,0.0,531.9,18.0,0.0,549.9,0.0000
China Resource Power New Energy Investment Ltd,china resource power new energy investment,252355,CHINA POWER NEW ENERGY DEV,BMU,HK0000350550,jaccard_0.57,0.0,0.0,0.0,549.0,0.0,549.0,0.0000
Singapore Power International Pte Ltd,singapore power international pte,103124,INTERNATIONAL POWER PLC,GBR,GB0006320161,comp_subset,0.0,536.0,0.0,0.0,536.0,536.0,1.0000
Guangdong Electric Power Development Co,guangdong electric power development,211744,GUANGDONG ELECTRIC POWER DEV,CHN,CNE0000006J0,exact_norm,0.0,0.0,528.0,0.0,0.0,528.0,0.0000
Changji Gurbantünggüt Desert Base New Energy Development CO LTD China Coal Mori Branch CO Co Ltd,changji gurbantunggut desert base new energy development china coal mori branch,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,125.0,400.0,0.0,525.0,0.0000
Changji Gurbantünggüt Desert Base New Energy Development CO LTD Shaanxi Investment Mori Branch,changji gurbantunggut desert base new energy development shaanxi investment mori branch,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,125.0,400.0,0.0,525.0,0.0000
Changji Gurbantünggüt Desert Base New Energy Development CO LTD Shaanxi Investment Mori Branch,changji gurbantunggut desert base new energy development shaanxi investment mori branch,356341,SHAANXI ENERGY INVESTMENT CO,CHN,CNE100005Z70,comp_subset,0.0,0.0,125.0,400.0,0.0,525.0,0.0000
Fengate Asset Management,fengate asset management,321729,GLOBAL ASSET MANAGEMENT,ZAF,ZAE000173498,jaccard_0.50,0.0,0.0,38.0,485.8,0.0,523.8,0.0000
Energy Development North & South Co,energy development north south,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,521.0,0.0,0.0,521.0,521.0,1.0000
Taurus Power Generation,taurus power generation,202071,JAPAN POWER GENERA,PAK,PK0074901015,jaccard_0.50,0.0,514.0,0.0,0.0,514.0,514.0,1.0000
Taurus Power Generation,taurus power generation,285323,QUADRA - POWER GENERATION,RUS,RU000A0JNMZ0,jaccard_0.50,0.0,514.0,0.0,0.0,514.0,514.0,1.0000
Taurus Power Generation,taurus power generation,326582,POWER GENERATION,VNM,VN000000PGV5,jaccard_0.50,0.0,514.0,0.0,0.0,514.0,514.0,1.0000
China Yangtze Power Co Ltd,china yangtze power,259541,CHINA YANGTZE POWER CO,CHN,CNE000001G87,exact_norm,204.1,59.8,244.0,5.0,263.8,512.8,0.5145
China Comba Power Holding Group,china comba power,259541,CHINA YANGTZE POWER CO,CHN,CNE000001G87,jaccard_0.50,510.2,0.0,0.0,0.0,510.2,510.2,1.0000
Geregu Power PLC,geregu power,354786,GEREGU POWER PLC,NGA,NGGEREGU0000,exact_norm,0.0,507.0,0.0,0.0,507.0,507.0,1.0000
Negin Sabz Middle East Dynamic Energy Production and Development Co,negin sabz middle east dynamic energy production and development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,500.2,0.0,0.0,500.2,500.2,1.0000
Hefei Shuyang New Energy Technology Development Co Ltd,hefei shuyang new energy technology development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
China Energy Construction Chongzuo Development Investment Co Ltd,china energy construction chongzuo development investment,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
Huadian (Inner Mongolia) New Energy Co Ltd,huadian inner mongolia new energy,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,comp_subset,0.0,0.0,125.0,375.0,0.0,500.0,0.0000
Huadian (Inner Mongolia) New Energy Co Ltd,huadian inner mongolia new energy,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,125.0,375.0,0.0,500.0,0.0000
Ordos Municipality State Asset Group New Energy Development and Utilization Co Ltd,ordos municipality state asset new energy development and utilization,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
CECEP Dalate Banner Solar Energy Technology Co Ltd,cecep dalate banner solar energy technology,272146,CECEP SOLAR ENERGY CO LTD,CHN,CNE0000000K1,comp_subset,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
Sichuan Huadian New Energy Co Ltd,sichuan huadian new energy,260185,SICHUAN NEW ENERGY POWER CO,CHN,CNE0000014Z0,comp_subset,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
Sichuan Huadian New Energy Co Ltd,sichuan huadian new energy,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,comp_subset,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
Sichuan Huadian New Energy Co Ltd,sichuan huadian new energy,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
China Resources New Energy Holdings Co Ltd,china resources new energy,252355,CHINA POWER NEW ENERGY DEV,BMU,HK0000350550,jaccard_0.50,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
Shaanxi Investment Makit New Energy Co Ltd,shaanxi investment makit new energy,356341,SHAANXI ENERGY INVESTMENT CO,CHN,CNE100005Z70,comp_subset,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
Shenzhen Energy Northern Holdings Co Ltd,shenzhen energy northern,251378,SHENZHEN ENERGY GROUP CO LTD,CHN,CNE000000933,comp_subset,0.0,0.0,500.0,0.0,0.0,500.0,0.0000
State Power Investment Corporation Guangdong Electric Power Co Ltd,state power investment guangdong electric power,211744,GUANGDONG ELECTRIC POWER DEV,CHN,CNE0000006J0,jaccard_0.50,0.0,0.0,200.0,300.0,0.0,500.0,0.0000
Shenzhen Energy Beifang (Northern) Energy Holdings Co Ltd,shenzhen energy beifang northern energy,251378,SHENZHEN ENERGY GROUP CO LTD,CHN,CNE000000933,comp_subset,0.0,0.0,0.0,500.0,0.0,500.0,0.0000
INNER MONGOLIA Datang International Tuoketuo POWER Genration Co Ltd,inner mongolia datang international tuoketuo power genration,103124,INTERNATIONAL POWER PLC,GBR,GB0006320161,comp_subset,0.0,0.0,0.0,500.0,0.0,500.0,0.0000
Changji Guotou Hengsheng Energy Co Ltd,changji guotou hengsheng energy,349919,HENGSHENG ENERGY CO LTD,CHN,CNE100004QF2,comp_subset,0.0,0.0,0.0,500.0,0.0,500.0,0.0000
Huadian Shanxi Energy Co Ltd,huadian shanxi energy,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,comp_subset,0.0,0.0,200.0,299.0,0.0,499.0,0.0000
Huadian Shanxi Energy Co Ltd,huadian shanxi energy,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,200.0,299.0,0.0,499.0,0.0000
Jiangxi Water Investment Energy Development Co Ltd,jiangxi water investment energy development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,387.0,100.0,0.0,487.0,0.0000
Jiangxi Water Investment Energy Development Co Ltd,jiangxi water investment energy development,330174,SICHUAN ENERGY INVST DEV CO,CHN,CNE100003FC4,comp_subset,0.0,0.0,387.0,100.0,0.0,487.0,0.0000
Huaneng International Power Jiangsu Energy Development Co Ltd,huaneng international power jiangsu energy development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,130.0,352.6,0.0,482.6,0.0000
Huaneng International Power Jiangsu Energy Development Co Ltd,huaneng international power jiangsu energy development,103124,INTERNATIONAL POWER PLC,GBR,GB0006320161,comp_subset,0.0,0.0,130.0,352.6,0.0,482.6,0.0000
Huaneng International Power Jiangsu Energy Development Co Ltd,huaneng international power jiangsu energy development,030747,HUANENG POWER INTERNATIONAL,CHN,CNE1000006Z4,comp_subset,0.0,0.0,130.0,352.6,0.0,482.6,0.0000
Huaneng International Power Development Corp,huaneng international power development,103124,INTERNATIONAL POWER PLC,GBR,GB0006320161,comp_subset,0.0,0.0,180.0,301.2,0.0,481.2,0.0000
Huaneng International Power Development Corp,huaneng international power development,030747,HUANENG POWER INTERNATIONAL,CHN,CNE1000006Z4,comp_subset,0.0,0.0,180.0,301.2,0.0,481.2,0.0000
State Power Investment Corporation Shaanxi New Energy Co Ltd,state power investment shaanxi new energy,356341,SHAANXI ENERGY INVESTMENT CO,CHN,CNE100005Z70,comp_subset,0.0,0.0,405.0,75.0,0.0,480.0,0.0000
Apollo Global Management Inc,apollo global management,321729,GLOBAL ASSET MANAGEMENT,ZAF,ZAE000173498,jaccard_0.50,0.0,0.0,475.0,0.0,0.0,475.0,0.0000
Suzhou GCL New Energy Investment Co Ltd,suzhou gcl new energy investment,207224,GCL NEW ENERGY HOLDINGS LTD,BMU,BMG3775G1539,comp_subset,0.0,0.0,473.9,0.0,0.0,473.9,0.0000
Guangdong Power Development Co Ltd,guangdong power development,211744,GUANGDONG ELECTRIC POWER DEV,CHN,CNE0000006J0,gem_subset,0.0,0.0,425.0,48.0,0.0,473.0,0.0000
Guangdong Power Development Co Ltd,guangdong power development,271031,ELEC POWER DEVELOPMENT CO,JPN,JP3551200003,gem_subset,0.0,0.0,425.0,48.0,0.0,473.0,0.0000
Otter Tail Power Co,otter tail power,008199,OTTER TAIL CORP,USA,,comp_subset,0.0,0.0,49.9,422.5,0.0,472.4,0.0000
Global Power Generation,global power generation,202071,JAPAN POWER GENERA,PAK,PK0074901015,jaccard_0.50,0.0,0.0,370.0,96.6,0.0,466.6,0.0000
Global Power Generation,global power generation,285323,QUADRA - POWER GENERATION,RUS,RU000A0JNMZ0,jaccard_0.50,0.0,0.0,370.0,96.6,0.0,466.6,0.0000
Global Power Generation,global power generation,026676,AZURE POWER GLOBAL LIMITED,MUS,,jaccard_0.50,0.0,0.0,370.0,96.6,0.0,466.6,0.0000
Global Power Generation,global power generation,326582,POWER GENERATION,VNM,VN000000PGV5,jaccard_0.50,0.0,0.0,370.0,96.6,0.0,466.6,0.0000
NextEra Energy Partners LP,nextera energy partners lp,004517,NEXTERA ENERGY INC,USA,,comp_subset,0.0,0.0,265.5,198.6,0.0,464.1,0.0000
Shanghai Zhijian New Energy Development Co Ltd,shanghai zhijian new energy development,327598,JIANGSU NEW ENERGY,CHN,CNE1000036F3,comp_subset,0.0,0.0,410.0,49.5,0.0,459.5,0.0000
Shanghai Zhijian New Energy Development Co Ltd,shanghai zhijian new energy development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,410.0,49.5,0.0,459.5,0.0000
Barka Water and Power Company SAOG,barka water and power saog,275034,BARKA WATER AND POWER CO,OMN,OM0000003141,exact_norm,0.0,456.0,0.0,0.0,456.0,456.0,1.0000
Moneda Asset Management SpA,moneda asset management,321729,GLOBAL ASSET MANAGEMENT,ZAF,ZAE000173498,jaccard_0.50,0.0,454.1,0.0,0.0,454.1,454.1,1.0000
Wisconsin Public Service Corp,wisconsin service,065095,WISCONSIN PUBLIC SERVICE CP,USA,,exact_norm,0.0,0.0,297.0,155.8,0.0,452.8,0.0000
Celsia Colombia SA ESP,celsia colombia esp,248838,CELSIA SA ESP,COL,COT60PA00038,comp_subset,0.0,376.0,76.4,0.0,376.0,452.4,0.8311
Globeleq Africa Investments Ltd,globeleq africa investments,342150,CEC AFRICA INVESTMENTS LTD,MUS,ZM0000000516,jaccard_0.50,0.0,0.0,300.3,151.5,0.0,451.8,0.0000
GVK Power & Infrastructure Ltd,gvk power infrastructure,278333,GVK POWER & INFRASTRUCTURE,IND,INE251H01024,exact_norm,450.4,0.0,0.0,0.0,450.4,450.4,1.0000
Maxim Power Corp,maxim power,123456,MAXIM POWER CORP,CAN,,exact_norm,0.0,450.0,0.0,0.0,450.0,450.0,1.0000
Sharjah Asset Management,sharjah asset management,321729,GLOBAL ASSET MANAGEMENT,ZAF,ZAE000173498,jaccard_0.50,0.0,450.0,0.0,0.0,450.0,450.0,1.0000
Shenzhen Energy Group Xinjiang Branch Co,shenzhen energy xinjiang branch,251378,SHENZHEN ENERGY GROUP CO LTD,CHN,CNE000000933,comp_subset,0.0,0.0,450.0,0.0,0.0,450.0,0.0000
Oklahoma Gas and Electric Co,oklahoma gas and electric,146774,ROCHESTER GAS & ELECTRC CORP,USA,,jaccard_0.60,0.0,0.0,0.0,448.7,0.0,448.7,0.0000
Oklahoma Gas and Electric Co,oklahoma gas and electric,115687,OKLAHOMA GAS & ELECTRIC CO,USA,,jaccard_0.60,0.0,0.0,0.0,448.7,0.0,448.7,0.0000
Oklahoma Gas and Electric Co,oklahoma gas and electric,023465,LOUISVILLE GAS AND ELECTRIC,USA,,jaccard_0.60,0.0,0.0,0.0,448.7,0.0,448.7,0.0000
China Power Investment Northeast New Energy Development Co Ltd,china power investment northeast new energy development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,85.0,362.9,0.0,447.9,0.0000
China Power Investment Northeast New Energy Development Co Ltd,china power investment northeast new energy development,252355,CHINA POWER NEW ENERGY DEV,BMU,HK0000350550,comp_subset,0.0,0.0,85.0,362.9,0.0,447.9,0.0000
China Power Construction Group Co Ltd,china power construction,259541,CHINA YANGTZE POWER CO,CHN,CNE000001G87,jaccard_0.50,0.0,0.0,446.9,0.0,0.0,446.9,0.0000
Konaseema Gas Power Ltd,konaseema gas power,247642,AUSTRALIAN POWER&GAS CO LTD,AUS,AU000000APK0,jaccard_0.50,0.0,445.0,0.0,0.0,445.0,445.0,1.0000
Guangxi Guangtou New Energy Industry Development Fund Partnership LP,guangxi guangtou new energy industry development fund partnership lp,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,430.8,0.0,0.0,0.0,430.8,430.8,1.0000
Guangxi Guangtou New Energy Industry Development Fund Partnership LP,guangxi guangtou new energy industry development fund partnership lp,272290,GUANGXI ENERGY CO LTD,CHN,CNE000001741,comp_subset,430.8,0.0,0.0,0.0,430.8,430.8,1.0000
China Energy Investment Xinjiang Kaidu River Valley Hydropower Development Co Ltd,china energy investment xinjiang kaidu river valley hydropower development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,425.0,0.0,0.0,425.0,0.0000
Fujian Funeng New Energy Co Ltd,fujian funeng new energy,270383,FUJIAN FUNENG CO LTD,CHN,CNE000001HV5,comp_subset,0.0,0.0,0.0,424.5,0.0,424.5,0.0000
Enel Green Power Chile SA,enel green power chile,027141,ENEL CHILE SA,CHL,CL0002266774,comp_subset,0.0,0.0,204.0,218.0,0.0,422.0,0.0000
Huadian New Energy Development Co Ltd,huadian new energy development,271762,HUADIAN LIAONING ENERGY DEV,CHN,CNE0000017N9,comp_subset,0.0,0.0,220.0,200.0,0.0,420.0,0.0000
Huadian New Energy Development Co Ltd,huadian new energy development,252355,CHINA POWER NEW ENERGY DEV,BMU,HK0000350550,comp_subset,0.0,0.0,220.0,200.0,0.0,420.0,0.0000
Huadian New Energy Development Co Ltd,huadian new energy development,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,220.0,200.0,0.0,420.0,0.0000
Huadian New Energy Development Co Ltd,huadian new energy development,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,comp_subset,0.0,0.0,220.0,200.0,0.0,420.0,0.0000
Huadian New Energy Development Co Ltd,huadian new energy development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,220.0,200.0,0.0,420.0,0.0000
Huadian New Energy Development Co Ltd,huadian new energy development,327598,JIANGSU NEW ENERGY,CHN,CNE1000036F3,comp_subset,0.0,0.0,220.0,200.0,0.0,420.0,0.0000
Zhejiang Provincial New Energy Investment Group Co Ltd,zhejiang provincial new energy investment,347411,ZHEJIANG PROVINCIAL NEW,CHN,CNE1000051S5,exact_norm,0.0,0.0,100.0,314.0,0.0,414.0,0.0000
Doreen Power Generations and Systems Ltd,doreen power generations and systems,321497,DOREEN POWER GENERATIONS,BGD,BD0319DPGSL7,exact_norm,0.0,408.2,0.0,0.0,408.2,408.2,1.0000
Guodian Power Shanxi New Energy Development Co Ltd,guodian power shanxi new energy development,286048,ENERGY DEV CO LTD,IND,INE306C01019,jaccard_0.57,0.0,0.0,90.0,315.9,0.0,405.9,0.0000
Guodian Power Shanxi New Energy Development Co Ltd,guodian power shanxi new energy development,252355,CHINA POWER NEW ENERGY DEV,BMU,HK0000350550,jaccard_0.57,0.0,0.0,90.0,315.9,0.0,405.9,0.0000
Sichuan Hongsheng Tianyi New Energy Co Ltd,sichuan hongsheng tianyi new energy,260185,SICHUAN NEW ENERGY POWER CO,CHN,CNE0000014Z0,jaccard_0.50,0.0,0.0,0.0,403.2,0.0,403.2,0.0000
Tata Power Solar,tata power solar,203894,TATA POWER CO LTD,IND,INE245A01021,comp_subset,0.0,0.0,401.0,0.0,0.0,401.0,0.0000
Shandong Energy Group Jingyuan Shenglu New Energy Co Ltd,shandong energy jingyuan shenglu new energy,315641,SHANDONG HI-SPEED NEW ENERGY,CYM,KYG1146W1134,jaccard_0.50,0.0,0.0,100.0,300.0,0.0,400.0,0.0000
Huarun Power New Energy Investment Co Ltd,huarun power new energy investment,260185,SICHUAN NEW ENERGY POWER CO,CHN,CNE0000014Z0,jaccard_0.50,0.0,0.0,300.0,100.0,0.0,400.0,0.0000
CGN New Energy Investment (Shenzhen) CO LTD Inner Mongolia branch,cgn new energy investment shenzhen inner mongolia branch,251378,SHENZHEN ENERGY GROUP CO LTD,CHN,CNE000000933,comp_subset,0.0,0.0,400.0,0.0,0.0,400.0,0.0000
Huadian Kuche New Energy Co Ltd,huadian kuche new energy,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,comp_subset,0.0,0.0,400.0,0.0,0.0,400.0,0.0000
Huadian Kuche New Energy Co Ltd,huadian kuche new energy,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,400.0,0.0,0.0,400.0,0.0000
Huadian Yutian New Energy Power Generation Co Ltd,huadian yutian new energy power generation,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,comp_subset,0.0,0.0,400.0,0.0,0.0,400.0,0.0000
Huadian Yutian New Energy Power Generation Co Ltd,huadian yutian new energy power generation,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,400.0,0.0,0.0,400.0,0.0000
Yunnan Branch of CGN New Energy Investment (Shenzhen) Co Ltd,yunnan branch of cgn new energy investment shenzhen,251378,SHENZHEN ENERGY GROUP CO LTD,CHN,CNE000000933,comp_subset,0.0,0.0,400.0,0.0,0.0,400.0,0.0000
Huadian New Energy Xinjiang Mori New Energy Co Ltd,huadian new energy xinjiang mori new energy,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,comp_subset,0.0,0.0,0.0,400.0,0.0,400.0,0.0000
Huadian New Energy Xinjiang Mori New Energy Co Ltd,huadian new energy xinjiang mori new energy,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,0.0,400.0,0.0,400.0,0.0000
State Power Investment Corporation Sichuan Electric Power Co Ltd,state power investment sichuan electric power,271174,SICHUAN MINGXING ELEC PWR CO,CHN,CNE000000SC4,jaccard_0.50,0.0,0.0,237.0,162.2,0.0,399.2,0.0000
Tanzania Electric Supply Company Ltd,tanzania electric supply,287783,DHAKA ELECTRIC SUPPLY CO LTD,BGD,BD0307DESCO9,jaccard_0.50,0.0,240.0,150.0,0.0,240.0,390.0,0.6154
Fujian Huadian Furui Energy Development Co Ltd,fujian huadian furui energy development,271762,HUADIAN LIAONING ENERGY DEV,CHN,CNE0000017N9,comp_subset,0.0,0.0,390.0,0.0,0.0,390.0,0.0000
Fujian Huadian Furui Energy Development Co Ltd,fujian huadian furui energy development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,390.0,0.0,0.0,390.0,0.0000
Fujian Huadian Furui Energy Development Co Ltd,fujian huadian furui energy development,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,comp_subset,0.0,0.0,390.0,0.0,0.0,390.0,0.0000
Gemeng International Energy Co Ltd,gemeng international energy,345688,SHINFOX ENERGY INTERNATIONAL,TWN,TW0006806003,jaccard_0.50,0.0,0.0,271.3,116.8,0.0,388.1,0.0000
Gemeng International Energy Co Ltd,gemeng international energy,252586,BEIJING ENERGY INTERNATIONAL,BMU,BMG1146K2008,jaccard_0.50,0.0,0.0,271.3,116.8,0.0,388.1,0.0000
Samsung Renewable Energy Inc,samsung renewable energy,360898,CITICORE RENEWABLE ENERGY CO,PHL,PH0000058844,jaccard_0.50,0.0,0.0,143.8,243.0,0.0,386.8,0.0000
Samsung Renewable Energy Inc,samsung renewable energy,039049,WESTBRIDGE RENWBLE ENRG CORP,CAN,,jaccard_0.50,0.0,0.0,143.8,243.0,0.0,386.8,0.0000
Samsung Renewable Energy Inc,samsung renewable energy,351868,HD RENEWABLE ENERGY CO LTD,TWN,TW0006873003,jaccard_0.50,0.0,0.0,143.8,243.0,0.0,386.8,0.0000
Samsung Renewable Energy Inc,samsung renewable energy,292414,ENLIGHT RENEWABLE ENERGY,ISR,,jaccard_0.50,0.0,0.0,143.8,243.0,0.0,386.8,0.0000
Samsung Renewable Energy Inc,samsung renewable energy,349595,ECONERGY RENEWABLE ENERGY,ISR,IL0011783342,jaccard_0.50,0.0,0.0,143.8,243.0,0.0,386.8,0.0000
Samsung Renewable Energy Inc,samsung renewable energy,363653,SANTI RENEWABLE ENERGY CO,TWN,TW0006946007,jaccard_0.50,0.0,0.0,143.8,243.0,0.0,386.8,0.0000
Samsung Renewable Energy Inc,samsung renewable energy,343320,GITA RENEWABLE ENERGY LTD,IND,INE776O01018,jaccard_0.50,0.0,0.0,143.8,243.0,0.0,386.8,0.0000
Southern Minnesota Municipal Power Agency,southern minnesota municipal power agency,156820,SOUTHERN POWER CO,USA,,comp_subset,384.9,0.0,0.0,0.0,384.9,384.9,1.0000
Guizhou Qianyuan Power Co Ltd,guizhou qianyuan power,272200,GUIZHOU QIANYUAN POWER CO,CHN,CNE000001LK0,exact_norm,0.0,0.0,382.5,0.0,0.0,382.5,0.0000
Huadian International Power Shareholding Co Ltd,huadian international power shareholding,103124,INTERNATIONAL POWER PLC,GBR,GB0006320161,comp_subset,0.0,0.0,0.0,381.4,0.0,381.4,0.0000
Hebei GCL New Energy Co Ltd,hebei gcl new energy,207224,GCL NEW ENERGY HOLDINGS LTD,BMU,BMG3775G1539,comp_subset,0.0,0.0,376.0,0.0,0.0,376.0,0.0000
TBEA Xinjiang Energy Co Ltd,tbea xinjiang energy,272327,XINJIANG TIANFU ENERGY CO,CHN,CNE0000019W6,jaccard_0.50,0.0,0.0,175.0,200.0,0.0,375.0,0.0000
TBEA Xinjiang Energy Co Ltd,tbea xinjiang energy,353985,XINJIANG LIXIN ENE,CHN,CNE100005GM6,jaccard_0.50,0.0,0.0,175.0,200.0,0.0,375.0,0.0000
Groupe Direct Energie,groupe direct energie,270655,DIRECT ENERGIE,FRA,FR0004191674,comp_subset,0.0,0.0,375.0,0.0,0.0,375.0,0.0000
İzdemir Enerji Elektrik Üretim AŞ,izdemir enerji elektrik uretim aş,358171,IZDEMIR ENERJI ELEKTRIK,TUR,TREIZDM00016,jaccard_0.57,370.0,0.0,0.0,0.0,370.0,370.0,1.0000
SGC Energy Co Ltd,sgc energy,208929,SGC ENERGY CO LTD,KOR,KR7005090006,exact_norm,361.0,0.0,0.0,0.0,361.0,361.0,1.0000
Enel Generación Piura SA,enel generacion piura,281492,ENEL GENERACION PIURA SA,PER,PEP701751203,exact_norm,0.0,360.8,0.0,0.0,360.8,360.8,1.0000
Datang Hubei Energy Development Co Ltd,datang hubei energy development,286048,ENERGY DEV CO LTD,IND,INE306C01019,comp_subset,0.0,0.0,305.4,50.0,0.0,355.4,0.0000
