gvkey,isin,ric
278494,RU000A0D8LW9,KTSB.MM^C24
278497,RU000A0D8MR7,LPSB.MM
278501,RU000A0D9AJ7,MRSB.MM
278508,RU000A0D8NG8,TASB.MM
278515,RU000A0DQWJ9,VDSB.MM^C20
278760,RU000A0JNG55,OGKB.MM
278784,RU000A0JNGA5,UPRO.MM
281448,BD0308PGCB07,PGCB.DH
281492,PEP701751203,EGEPIBC1.LM
281712,BRTAEECDAM10,TAEE11.SA
281784,IT0004093263,ASCI.MI
282044,KE0000000547,KEGN.NR
282550,FR0004172450,ALMIN.PA
282813,RU000A0JNUD0,TGKA.MM
283066,VN000000VSH7,VSH.HM
284321,RU000A0JNGS7,TGKB.MM
285082,ES0165386014,SLRS.MC
285317,PTREL0AM0008,RENE.LS
285323,RU000A0JNMZ0,TGKD.MM^A23
285367,PHY0005M1090,AP.PS
285372,AU000000TPC7,TPC.AX
285584,IL0011022352,SLGN.TA^B24
285686,RU000A0HML36,VTGKI.RTS
285711,RU000A0F61T7,TGKJI.RTS
286048,INE306C01019,EDCO.NS
286302,HU0000089198,ENEFI.BU
286434,INE752E01010,PGRD.NS
286462,UA4000079081,CEEN.PFT
286567,COE01PA00026,GEB.CN
287445,NZPLUE0001S8,PLE.NZ^A16
287670,BRENEVACNOR8,ENEV3.SA
287673,RU000A0JPKH7,HYDR.MM
287783,BD0307DESCO9,DESC.DH
287910,CNE100000973,002210.SZ
288013,VN000000PPC6,PPC.HM
288128,ZM0000000136,CECZ.LZ
288590,RU000A0JPN96,MRKP.MM
288919,RU000A0JPPB9,MRKZ.MM
288946,IM00B2R3RX72,OPG.SG^B26
288970,ES0127797019,EDPR.LS
289052,RU000A0JPPF0,MRKS.MM
289075,RU000A0JPPL8,MRKC.MM
289080,RU000A0JPPQ7,MRKK.MM
289215,RU000A0JPPG8,MRKY.MM
289247,RU000A0JPPT1,MRKU.MM
289409,RU000A0JPPN4,MRKV.MM
289434,RU000A0JPNM1,IRAO.MM
290146,RU000A0H1ES3,TGKN.MM
290445,PLENEA000013,ENAE.WA
290490,UA4000080675,DOEN.PFT
290760,VN000000TBC8,TBC.HM
290769,VN000000KHP6,KHP.HM
290987,VN000000SJD1,SJD.HM
291049,VN000000VNE5,VNE.HM
291092,RU000A0HGSQ4,VOSBI.RTS
291340,BRCEEDACNOR9,CEED3.SA
291420,BREQMAACNOR8,EQMA3B.SO
292210,VN000000TMP7,TMP.HM
292219,KZ1C00000413,MREK.KZ
292414,IL0007200111,ENLT.TA
293157,RU000A0JPVL6,VRAOI.RTS
293416,VN000000BTP0,BTP.HM
293530,PLPGER000010,PGE.WA
293593,AU0000207912,FHE.AX
293862,RU000A0HMLY1,KRSB.MM
293879,RU0006753498,KCHE.MM
293904,RU000A0ET123,PMSB.MM
293912,RU000A0JNJ11,KBSB.MM
293977,RU000A0ET1W4,STSB.MM
294656,INE002L01015,SJVN.NS
294966,PLTAURN00011,TPE.WA
295626,TH1041010Z03,GUNKUL.BK
295734,BRAFLTACNOR1,AFLT3.SA
295874,BRGPARACNOR4,GPAR3.SA
296299,KR7130660004,130660.KS
296362,LT0000128415,LGD1L.VL
297621,VN000000DNC7,DNC.HN
298030,PEP702001A04,HIDRA2C1.LM
298150,AED001801011,DEWAA.DU
298318,KYG8116S1057,1165.HK
298558,VN000000SMA1,SMA.HM
300887,CNE1000016Z3,002616.SZ
302945,PS5006112997,PEC.PL
303634,CLP3718Y1056,CASABLANCA.SN
311988,INE173J01018,SRME.BO
312080,PEP735005006,ENPACII1.LM
312580,CL0001839894,ENLASA.SN
313975,PLZEPAK00012,ZEEP.WA
314163,INE360C01024,DPSC.NS
314192,UG0000001145,UMEME.UG
314479,LT0000128621,IRLP.WA
315280,VN000000DRL9,DRL.HM
315414,TREODAS00014,ODAS.IS
