parent_name,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,clean_mw,total_mw,alpha,units
China National Coal Group,10329.6,0.0,0.0,0.0,10329.6,0.0,10329.6,1.0000,41
CLP Holdings Ltd,5984.0,4123.8,0.0,0.0,10107.8,0.0,10107.8,1.0000,40
Kyushu Electric Power Co Inc,3307.7,6605.9,0.0,17.5,9913.5,17.5,9931.0,0.9982,53
"Iranian Electricity Production, Transmission and Distribution Management JSC",0.0,9880.0,0.0,0.0,9880.0,0.0,9880.0,1.0000,31
EnBW Energie Baden-Württemberg AG,5590.8,2065.7,595.3,1603.0,7656.4,2198.3,9854.7,0.7769,91
Hebei Construction Investment Energy Investment Co Ltd,9794.9,0.0,0.0,16.2,9794.9,16.2,9811.1,0.9983,43
Vattenfall AB,700.0,3776.0,37.8,5287.8,4476.0,5325.6,9801.6,0.4567,74
Electricité de France SA,3163.2,6517.0,103.3,0.0,9680.2,103.3,9783.5,0.9894,53
Jinneng Holding Shanxi Electric Power Co Ltd,9555.6,0.0,50.0,50.0,9555.6,100.0,9655.6,0.9896,39
China Three Gorges Renewables (Group) Co Ltd,0.0,0.0,7038.0,2602.0,0.0,9640.0,9640.0,0.0000,87
ReNew Power,0.0,0.0,5659.5,3905.5,0.0,9565.0,9565.0,0.0000,123
Saline Water Conversion Corp Corp,0.0,9545.0,0.0,0.0,9545.0,0.0,9545.0,1.0000,49
Abu Dhabi National Energy Company PJSC,250.0,7619.9,1527.2,0.0,7869.9,1527.2,9397.1,0.8375,28
Endesa SA,0.0,7784.6,1464.3,141.6,7784.6,1605.9,9390.5,0.8290,110
Huadian New Energy Group Co Ltd,0.0,0.0,5638.8,3659.3,0.0,9298.2,9298.2,0.0000,91
Inner Mongolia Energy Power Generation Investment Group Co Ltd,8816.6,270.0,0.0,204.5,9086.6,204.5,9291.1,0.9780,31
Government of Israel,4316.3,4954.1,0.0,0.0,9270.4,0.0,9270.4,1.0000,27
Gansu Provincial State-owned Assets Investment Group Co Ltd,9173.0,59.9,0.0,0.0,9232.9,0.0,9232.9,1.0000,49
BelEnergo State Production Association of Power Industry,0.0,9230.2,0.0,0.0,9230.2,0.0,9230.2,1.0000,67
U.P. Rajya Vidyut Utpadan Nigam Ltd,9120.0,0.0,0.0,0.0,9120.0,0.0,9120.0,1.0000,25
China Longyuan Power Group Corp Ltd,0.0,0.0,1005.0,8010.9,0.0,9015.9,9015.9,0.0000,150
Wintime ENERGY Group Co Ltd,7224.0,1660.0,0.0,0.0,8884.0,0.0,8884.0,1.0000,20
Electricity Generating Authority of Thailand,2932.3,5830.2,69.0,24.0,8762.6,93.0,8855.6,0.9895,22
Mass Group Holding Ltd,0.0,8800.0,54.0,0.0,8800.0,54.0,8854.0,0.9939,20
Enel SpA,590.0,7521.0,519.0,157.0,8111.0,676.0,8787.0,0.9231,43
Mexico Infrastructure Partners SAPI de CV,0.0,8518.0,0.0,102.0,8518.0,102.0,8620.0,0.9882,19
The Chugoku Electric Power Co Inc,3565.3,4905.2,0.0,0.0,8470.5,0.0,8470.5,1.0000,35
Adani Group,0.0,0.0,8438.0,0.0,0.0,8438.0,8438.0,0.0000,72
PPL Corp,5257.2,3160.0,0.0,0.0,8417.2,0.0,8417.2,1.0000,26
Marubeni Corp,1518.6,6135.3,675.9,55.8,7653.9,731.7,8385.6,0.9127,76
Salt River Project,1830.9,6534.0,0.0,0.0,8364.9,0.0,8364.9,1.0000,45
Capital Power Corp,0.0,6663.5,366.0,1247.6,6663.5,1613.6,8277.1,0.8051,31
Jiangsu Guoxin Investment Group Ltd,8250.0,0.0,18.5,0.0,8250.0,18.5,8268.5,0.9978,68
Tata Power Company Ltd,6074.5,234.0,750.0,1130.5,6308.5,1880.5,8189.0,0.7704,43
Alliant Energy Corp,1749.4,3266.4,1306.1,1834.9,5015.9,3141.0,8156.9,0.6149,48
Avangrid Renewables,0.0,0.0,0.0,8093.8,0.0,8093.8,8093.8,0.0000,71
Shaanxi ENERGY Investment Co Ltd,8005.2,0.0,0.0,0.0,8005.2,0.0,8005.2,1.0000,22
DTE Energy Co,3977.1,3874.0,0.0,0.0,7851.1,0.0,7851.1,1.0000,24
Datang Huayin Electric Power Co Ltd,7168.8,0.0,482.5,187.0,7168.8,669.5,7838.3,0.9146,24
Iberdrola Renovables Energia SA,0.0,0.0,0.0,7800.8,0.0,7800.8,7800.8,0.0000,224
China Resources Power New Energy Investment Co Ltd,0.0,0.0,3760.0,3844.8,0.0,7604.8,7604.8,0.0000,72
Huaneng Renewables Corp Ltd,0.0,0.0,3495.0,4087.4,0.0,7582.4,7582.4,0.0000,104
MidAmerican Energy Co,0.0,0.0,25.0,7477.1,0.0,7502.1,7502.1,0.0000,59
Sumitomo Corp,4415.4,2717.9,85.0,259.8,7133.3,344.8,7478.1,0.9539,38
Gulf Development PCL,0.0,6846.7,397.2,176.5,6846.7,573.7,7420.4,0.9227,43
WEC Energy Group Inc,2882.8,4121.8,400.0,0.0,7004.6,400.0,7404.6,0.9460,35
Public Establishment of Electricity Generation,0.0,7384.5,0.0,0.0,7384.5,0.0,7384.5,1.0000,28
OGE Energy Corp,2060.0,5321.4,0.0,0.0,7381.4,0.0,7381.4,1.0000,27
Guangdong Hanjian Holding Co Ltd,7344.8,0.0,0.0,0.0,7344.8,0.0,7344.8,1.0000,10
Ameren Corp,3488.8,3502.4,350.0,0.0,6991.2,350.0,7341.2,0.9523,44
Emera Inc,1743.8,5591.8,0.0,0.0,7335.6,0.0,7335.6,1.0000,27
Chiping Xinyou Enterprise Management Co Ltd,7310.5,0.0,0.0,0.0,7310.5,0.0,7310.5,1.0000,27
Rajasthan Rajya Vidyut Utpadan Nigam Ltd,6693.2,600.5,0.0,0.0,7293.7,0.0,7293.7,1.0000,27
Elektrik Uretim AŞ,2328.5,4917.0,0.0,0.0,7245.5,0.0,7245.5,1.0000,20
Malakoff Corporation Bhd,4940.0,2075.1,0.0,210.0,7015.1,210.0,7225.1,0.9709,17
Mitsui & Co Ltd,1245.0,5485.3,74.1,393.0,6730.4,467.1,7197.5,0.9351,83
Guangdong Hengjian Investment Holding Co Ltd,5305.9,1718.5,160.8,0.0,7024.4,160.8,7185.2,0.9776,69
China Three Gorges New Energy (Group) Co Ltd,0.0,0.0,5206.4,1975.0,0.0,7181.4,7181.4,0.0000,88
AzerEnerji JSC,0.0,7140.9,0.0,0.0,7140.9,0.0,7140.9,1.0000,27
Acciona Energía SAU,0.0,0.0,487.0,6621.5,0.0,7108.5,7108.5,0.0000,197
RATCH Group PCL,1681.7,5344.8,0.0,60.0,7026.4,60.0,7086.4,0.9915,24
Edison SpA,0.0,6873.0,30.0,181.0,6873.0,211.0,7084.0,0.9702,24
Midwood Holdings LLC,0.0,7062.0,0.0,0.0,7062.0,0.0,7062.0,1.0000,29
China Guangdong Nuclear Wind Energy Ltd,0.0,0.0,1340.0,5720.0,0.0,7060.0,7060.0,0.0000,99
Andhra Pradesh Power Generation Corp Ltd,6640.0,0.0,400.0,0.0,6640.0,400.0,7040.0,0.9432,20
Vedanta Ltd,7005.1,0.0,0.0,0.0,7005.1,0.0,7005.1,1.0000,24
Damodar Valley Corp,6976.0,0.0,0.0,0.0,6976.0,0.0,6976.0,1.0000,25
Turkmenenergo,0.0,6947.0,0.0,0.0,6947.0,0.0,6947.0,1.0000,40
China Nuclear Huineng Co Ltd,0.0,0.0,5909.0,1035.5,0.0,6944.5,6944.5,0.0000,60
Oglethorpe Power Corp,1069.2,5871.0,0.0,0.0,6940.2,0.0,6940.2,1.0000,35
Qatar Electricity and Water Company QPSC,319.0,6559.6,0.0,0.0,6878.6,0.0,6878.6,1.0000,33
A2A SpA,0.0,6804.0,0.0,0.0,6804.0,0.0,6804.0,1.0000,20
Saudi Arabian Oil Co,0.0,6794.0,0.0,0.0,6794.0,0.0,6794.0,1.0000,33
Tianjin STATE-OWNED CAPITAL Investment and Management Co Ltd,4149.1,2336.9,0.0,0.0,6486.0,0.0,6486.0,1.0000,30
Central Puerto SA,0.0,5904.4,117.0,451.0,5904.4,568.0,6472.4,0.9122,32
RWE Renewables,0.0,0.0,833.2,5619.9,0.0,6453.1,6453.1,0.0000,66
PetroVietnam Power Corporation JSC,3600.0,2839.0,0.0,0.0,6439.0,0.0,6439.0,1.0000,10
Bangladesh Power Development Board,1060.0,5367.9,0.0,0.0,6427.9,0.0,6427.9,1.0000,35
AGL Energy Ltd,4880.0,1130.0,155.0,197.0,6010.0,352.0,6362.0,0.9447,18
Aluminum Corporation of China Ltd,6231.8,0.0,21.3,0.0,6231.8,21.3,6253.1,0.9966,35
Eni SpA,0.0,5621.2,625.8,0.0,5621.2,625.8,6247.0,0.8998,53
NLC India Ltd,5203.2,0.0,950.0,0.0,5203.2,950.0,6153.2,0.8456,28
Fujian Funeng Co Ltd,4513.8,1170.0,2.1,436.0,5683.8,438.1,6121.8,0.9284,32
SSE PLC,0.0,6117.8,0.0,0.0,6117.8,0.0,6117.8,1.0000,19
Gujarat Urja Vikas Nigam Ltd,5140.0,968.0,0.0,0.0,6108.0,0.0,6108.0,1.0000,25
Xinjiang Huadian Tianshan Power Generation Co Ltd,0.0,0.0,1800.0,4200.0,0.0,6000.0,6000.0,0.0000,2
Henan Yuneng Holdings Co Ltd,5880.0,0.0,0.0,110.0,5880.0,110.0,5990.0,0.9816,21
TNEB Ltd,5570.0,395.0,0.0,0.0,5965.0,0.0,5965.0,1.0000,24
Inner Mongolia Energy Group Co Ltd,0.0,0.0,3100.0,2794.0,0.0,5894.0,5894.0,0.0000,13
ENEA SA,5761.0,0.0,35.0,76.0,5761.0,111.0,5872.0,0.9811,24
Public Power Corporation SA,1655.0,3583.0,411.0,158.1,5238.0,569.1,5807.1,0.9020,41
Jilin Electric Power Co Ltd,3900.0,0.0,1537.6,302.4,3900.0,1840.0,5740.0,0.6794,38
Tunisian Company of Electricity and Gas,0.0,5451.0,15.0,253.0,5451.0,268.0,5719.0,0.9531,33
Power Construction Corporation of China Ltd,3865.3,567.8,978.5,246.8,4433.1,1225.3,5658.4,0.7835,64
Consumers Energy Co,1481.6,3071.0,270.0,831.8,4552.6,1101.8,5654.4,0.8051,18
Guangxi Investment Group Co Ltd,5556.3,0.0,66.0,11.0,5556.3,77.0,5633.3,0.9863,26
EL5-Energo PJSC,0.0,5585.0,0.0,0.0,5585.0,0.0,5585.0,1.0000,23
Telangana State Power Generation Corporation Ltd,5580.0,0.0,0.0,0.0,5580.0,0.0,5580.0,1.0000,12
Origin Energy Ltd,2880.0,2693.0,0.0,0.0,5573.0,0.0,5573.0,1.0000,18
Clearway Energy Group LLC,0.0,0.0,2642.8,2914.8,0.0,5557.6,5557.6,0.0000,87
China National Offshore Oil Corp,0.0,5460.1,0.0,0.0,5460.1,0.0,5460.1,1.0000,38
Adani Green Energy,0.0,0.0,2705.0,2723.2,0.0,5428.2,5428.2,0.0000,30
Jiangxi Ganneng Co Ltd,5200.0,0.0,215.0,0.0,5200.0,215.0,5415.0,0.9603,11
natural person(s),3847.7,1542.4,0.0,0.0,5390.1,0.0,5390.1,1.0000,147
Reliance Power Ltd,5160.0,0.0,165.0,45.0,5160.0,210.0,5370.0,0.9609,13
Samruk-Energo JSC,5183.0,120.0,0.0,60.0,5303.0,60.0,5363.0,0.9888,24
Pinnacle West Capital Corp,1030.8,4324.4,0.0,0.0,5355.2,0.0,5355.2,1.0000,35
JSW Energy Ltd,3805.0,0.0,275.0,1260.0,3805.0,1535.0,5340.0,0.7125,25
CGN Energy International Holding Co,0.0,5330.0,0.0,0.0,5330.0,0.0,5330.0,1.0000,22
Chengdu Caihong Environmental Protection Technology Co Ltd,2589.8,2740.0,0.0,0.0,5329.8,0.0,5329.8,1.0000,20
San Miguel Corp,3755.8,1539.8,0.0,0.0,5295.6,0.0,5295.6,1.0000,19
TAURON Polska Energia SA,4423.5,304.0,0.0,532.0,4727.5,532.0,5259.5,0.8988,40
Huadian Energy Co Ltd,5254.4,0.0,0.0,0.0,5254.4,0.0,5254.4,1.0000,20
TransAlta Corp,0.0,2831.6,95.9,2299.7,2831.6,2395.6,5227.2,0.5417,58
City of San Antonio (Texas),1444.0,3773.0,0.0,0.0,5217.0,0.0,5217.0,1.0000,17
Hubei Energy Group Co Ltd,4586.0,370.0,200.0,50.0,4956.0,250.0,5206.0,0.9520,15
Elektroprivreda Srbije Beograd AD,4785.0,405.0,0.0,0.0,5190.0,0.0,5190.0,1.0000,21
Eneva SA,725.0,4460.9,0.0,0.0,5185.9,0.0,5185.9,1.0000,15
POSCO Holdings Inc,714.0,4404.5,0.0,0.0,5118.5,0.0,5118.5,1.0000,14
Pattern Energy,0.0,0.0,240.5,4860.4,0.0,5100.9,5100.9,0.0000,33
Electricity Generating PCL,1513.7,3335.9,71.6,160.0,4849.6,231.6,5081.2,0.9544,19
Carlyle Group Inc,0.0,5058.3,0.0,0.0,5058.3,0.0,5058.3,1.0000,30
PetroChina Co Ltd,3300.8,1322.0,401.0,30.0,4622.7,431.0,5053.7,0.9147,66
Florida Power & Light Co,0.0,0.0,5052.0,0.0,0.0,5052.0,5052.0,0.0000,71
Karnataka Power Corp Ltd,4666.4,370.0,0.0,0.0,5036.4,0.0,5036.4,1.0000,14
Jindal Steel & Power Ltd,4990.0,0.0,0.0,24.0,4990.0,24.0,5014.0,0.9952,22
Guangzhou Development Group Inc,3240.0,1386.0,333.0,0.0,4626.0,333.0,4959.0,0.9328,28
Greenko Energy Holdings,0.0,0.0,2009.0,2950.0,0.0,4959.0,4959.0,0.0000,70
Nippon Steel Corp,2355.2,2528.8,0.0,0.0,4884.0,0.0,4884.0,1.0000,34
South Carolina Public Service Authority,3650.1,1219.0,0.0,0.0,4869.1,0.0,4869.1,1.0000,15
Basin Electric Power Cooperative,2730.3,1847.4,0.0,276.0,4577.7,276.0,4853.7,0.9431,30
Ontario Power Generation Inc,0.0,4813.0,14.7,0.0,4813.0,14.7,4827.7,0.9970,9
Power and Water Utility Company for Jubail and Yanbu SJSC,0.0,4826.7,0.0,0.0,4826.7,0.0,4826.7,1.0000,11
Henan Provincial Investment Co,4754.4,63.4,0.0,0.0,4817.7,0.0,4817.7,1.0000,32
Huayang Investment (Hong Kong) Ltd,4788.0,0.0,0.0,0.0,4788.0,0.0,4788.0,1.0000,9
Mitsubishi Corp,384.2,4302.9,0.0,0.0,4687.0,0.0,4687.0,1.0000,46
YTL Corporation Bhd,231.0,4381.0,0.0,0.0,4612.0,0.0,4612.0,1.0000,18
Shenyang Jinshan Energy Co Ltd,4478.0,0.0,0.0,124.0,4478.0,124.0,4602.0,0.9731,20
Cleco Corporate Holdings LLC,871.4,3729.5,0.0,0.0,4600.9,0.0,4600.9,1.0000,13
Petróleo Brasileiro SA,0.0,4578.8,1.1,0.0,4578.8,1.1,4579.9,0.9998,25
Madhya Pradesh Power Generating Co Ltd,4570.0,0.0,0.0,0.0,4570.0,0.0,4570.0,1.0000,12
Beijing Jingneng Clean Energy Co Ltd,0.0,4526.8,40.0,0.0,4526.8,40.0,4566.8,0.9912,12
Hokuriku Electric Power Co,2900.0,1664.7,0.0,0.0,4564.7,0.0,4564.7,1.0000,11
Acciona SA,0.0,0.0,1746.0,2805.4,0.0,4551.4,4551.4,0.0000,60
Puerto Rico Electric Power Authority,0.0,4540.0,0.0,0.0,4540.0,0.0,4540.0,1.0000,26
Rockland Capital LP,0.0,4518.0,0.0,0.0,4518.0,0.0,4518.0,1.0000,47
En+ Group PJSC,3882.7,623.6,0.0,0.0,4506.3,0.0,4506.3,1.0000,58
Forward Energo PJSC,0.0,4467.0,0.0,35.0,4467.0,35.0,4502.0,0.9922,23
Shandong Energy Group Co Ltd,4382.7,0.0,100.0,0.0,4382.7,100.0,4482.7,0.9777,33
Shell PLC,0.0,3594.0,107.0,776.5,3594.0,883.5,4477.5,0.8027,52
Global Power Synergy PCL,594.3,3840.7,26.0,0.0,4435.0,26.0,4461.0,0.9942,25
Los Angeles Department of Water & Power,0.0,4457.0,0.0,0.0,4457.0,0.0,4457.0,1.0000,23
Aboitiz Power Corp,3664.0,555.2,217.0,0.0,4219.2,217.0,4436.2,0.9511,25
Hokkaido Electric Power Co Inc,1900.0,2367.4,0.0,0.0,4267.4,0.0,4267.4,1.0000,12
