gvkey,fyear,conm,fic,sic,at,sale,ppent,capx,ceq,dltt,dlc,oibdp,xint,oancf,alpha,lambda,rho,kappa,delta,source
030471,2022,AES ANDES SA,CHL,4911,5413.06,2578.962,3453.14,593.094,1037.627,2707.886,239.66,787.991,171.54,314.773,0.4376,0.5445,0.1456,1.8350,0.9187,compustat_global_utilities.csv
030471,2023,AES ANDES SA,CHL,4911,5352.718,2741.65,3654.735,439.452,681.739,2367.649,484.622,676.518,192.939,966.051,0.4376,0.5329,0.1264,5.0070,0.8301,compustat_global_utilities.csv
030471,2024,AES ANDES SA,CHL,4911,5224.779,2343.011,3762.581,423.443,610.557,2510.96,340.517,610.875,210.851,761.922,0.4376,0.5458,0.1169,3.6136,0.8806,compustat_global_utilities.csv
030538,2010,ENEL GENERACION CHILE SA,CHL,4911,6034871.805,2397944.527,4253906.589,254609.306,2376486.878,1523141.821,249185.637,1045516.52,127189.891,855694.121,0.1765,0.2937,0.1732,6.7277,0.8594,compustat_global_utilities.csv
030538,2011,ENEL GENERACION CHILE SA,CHL,4911,6562013.116,2387451.263,4603902.502,266667.712,2558537.997,1712294.737,302006.286,963533.167,136350.831,685106.134,0.0811,0.3070,0.1468,5.0246,0.8501,compustat_global_utilities.csv
030538,2012,ENEL GENERACION CHILE SA,CHL,4911,6488689.924,2301821.443,4659460.624,261759.378,2541242.399,1513616.717,409688.893,776100.694,129856.126,554257.629,0.0811,0.2964,0.1196,4.2682,0.7870,compustat_global_utilities.csv
030538,2013,ENEL GENERACION CHILE SA,CHL,4911,6762124.836,1965903.869,4692288.945,292016.898,2651967.847,1535382.432,349285.334,976447.149,122134.834,707769.05,0.0811,0.2787,0.1444,5.7950,0.8147,compustat_global_utilities.csv
030538,2014,ENEL GENERACION CHILE SA,CHL,4911,7237671.899,2364210.976,5230428.848,421313.962,2700280.484,1790657.084,287550.354,1091960.722,144005.232,816799.505,0.0811,0.2871,0.1509,5.6720,0.8616,compustat_global_utilities.csv
030538,2015,ENEL GENERACION CHILE SA,CHL,4911,7278770.333,1539977.511,2729717.092,525755.416,2648189.907,826380.628,196193.802,515729.856,51827.058,901214.236,0.0796,0.1405,0.0709,17.3889,0.8081,compustat_global_utilities.csv
030538,2016,ENEL GENERACION CHILE SA,CHL,4911,3399682.491,1639959.815,2726838.537,194880.395,1700962.487,802046.968,18013.012,630547.244,46302.324,559188.589,0.1153,0.2412,0.1855,12.0769,0.9780,compustat_global_utilities.csv
030538,2017,ENEL GENERACION CHILE SA,CHL,4911,3554462.191,1599032.14,2788204.501,206775.663,1961517.727,760932.929,17255.679,605612.405,42708.514,488167.382,0.1153,0.2189,0.1704,11.4302,0.9778,compustat_global_utilities.csv
030538,2018,ENEL GENERACION CHILE SA,CHL,4911,3669228.079,1481554.138,2919097.994,222327.048,1970520.585,797023.88,46323.392,581452.724,43988.415,465273.275,0.1743,0.2298,0.1585,10.5772,0.9451,compustat_global_utilities.csv
030538,2019,ENEL GENERACION CHILE SA,CHL,4911,3587198.777,1494119.513,2747643.715,192933.291,1963775.252,812387.948,46083.325,547367.629,46403.171,568606.771,0.1743,0.2393,0.1526,12.2536,0.9463,compustat_global_utilities.csv
