gvkey_i,gvkey_j,w_ij
001745,285686,0.000057
001745,286048,0.005939
001745,287783,0.002284
001745,287982,0.005939
001745,288128,0.005939
001745,290445,0.000035
001745,291049,0.000102
001745,291420,0.005939
001745,292414,0.005939
001745,303634,0.005939
001745,312080,0.005939
001745,315416,0.005939
001745,315641,0.005939
001745,317460,0.005939
001745,319800,0.005939
001745,324676,0.005939
001745,326073,0.005939
001745,326097,0.005258
001745,326109,0.005939
001745,326162,0.005939
001745,326558,0.005939
001745,326582,0.005939
001745,326989,0.005939
001745,327080,0.005939
001745,327477,0.005939
001745,327598,0.005939
001745,328809,0.003999
001745,329188,0.005939
001745,329260,0.004376
001745,329994,0.005939
001745,330018,0.005939
001745,330559,0.005939
001745,330659,0.005939
001745,330813,0.005939
001745,331125,0.005939
001745,332301,0.005939
001745,332452,0.005939
001745,333300,0.005939
001745,333753,0.005939
001745,333819,0.005939
001745,333995,0.005939
001745,335480,0.005939
001745,335504,0.005939
001745,338459,0.005939
001745,339028,0.005939
001745,342150,0.003948
001745,343320,0.005939
001745,345688,0.005939
001745,346263,0.005939
001745,346289,0.005939
001745,346354,0.005939
001745,346624,0.005939
001745,347266,0.005939
001745,347335,0.005939
001745,347411,0.005939
001745,347460,0.005939
001745,347683,0.005939
001745,347739,0.001579
001745,349471,0.005939
001745,349595,0.005939
001745,350660,0.002029
001745,351362,0.005939
001745,351868,0.005939
001745,352078,0.005939
001745,353306,0.005939
001745,353985,0.005939
001745,354041,0.005939
001745,354081,0.001329
001745,354082,0.005939
001745,355383,0.005939
001745,356341,0.005939
001745,356860,0.005939
001745,360898,0.005939
001745,362999,0.005939
001745,363653,0.005939
001745,364328,0.005939
001745,364457,0.005939
001745,365775,0.005939
001745,368841,0.005939
001828,001075,0.004644
001828,001440,0.001857
001828,001742,0.001857
001828,001745,0.001857
001828,001995,0.004650
001828,003210,0.001954
001828,003392,0.001857
001828,003413,0.005435
001828,003439,0.004644
001828,003897,0.003598
001828,004029,0.005593
001828,004093,0.004861
001828,004241,0.001857
001828,004331,0.000792
001828,004517,0.002383
001828,004798,0.001857
001828,004799,0.001857
001828,005135,0.001857
001828,005385,0.000792
001828,005525,0.001857
001828,005526,0.004644
001828,005742,0.004517
001828,005870,0.004644
001828,005914,0.001857
001828,006338,0.003339
001828,006867,0.000792
001828,006932,0.004069
001828,007365,0.004644
001828,007366,0.004725
001828,007437,0.001439
001828,007824,0.001857
001828,007970,0.002481
001828,007974,0.002825
001828,007977,0.004639
001828,008001,0.004411
001828,008113,0.004644
001828,008199,0.001562
001828,008264,0.004644
001828,008290,0.000792
001828,008455,0.002738
001828,008539,0.006324
001828,008806,0.001857
001828,008809,0.000792
001828,008810,0.001857
001828,009691,0.000792
001828,009828,0.001857
001828,009846,0.004644
001828,009850,0.004662
001828,009902,0.001857
001828,010327,0.001857
001828,010447,0.004644
001828,010801,0.004644
001828,010860,0.003827
001828,011188,0.001857
001828,011304,0.004644
001828,011550,0.000792
001828,011554,0.004880
001828,012428,0.005019
001828,012555,0.001857
001828,012612,0.001857
001828,012749,0.001857
001828,013353,0.001857
001828,013948,0.005100
001828,014390,0.004574
001828,014391,0.004876
001828,014433,0.004644
001828,014580,0.000792
001828,015321,0.005891
001828,016590,0.004644
001828,017525,0.003524
001828,018293,0.004644
001828,019774,0.004644
001828,020739,0.001397
001828,023465,0.001857
001828,025588,0.001857
001828,025792,0.004644
001828,026658,0.005876
001828,026676,0.000792
001828,027141,0.002649
001828,030282,0.003598
001828,030471,0.003096
001828,030538,0.004644
001828,030747,0.000792
001828,030874,0.001857
001828,036790,0.000792
001828,039049,0.001857
001828,040614,0.004650
001828,043737,0.004644
001828,060844,0.005284
001828,064577,0.001799
001828,064625,0.001857
001828,064910,0.004668
001828,065092,0.001857
001828,065095,0.002649
001828,065298,0.000816
001828,066624,0.001857
001828,100182,0.003967
001828,100251,0.001699
001828,100302,0.001857
001828,100365,0.001857
001828,100439,0.001857
001828,100450,0.001857
001828,100488,0.001857
001828,100688,0.001857
001828,100690,0.001857
001828,100953,0.005026
001828,100957,0.007054
001828,101769,0.001857
