gvkey_i,gvkey_j,w_reg
003392,144646,0.010101
003392,004241,0.010101
003392,008806,0.010101
003392,001745,0.010101
003392,007970,0.010101
003392,010327,0.010101
003392,114789,0.010101
003392,005742,0.010101
003392,014580,0.010101
003392,003439,0.010101
003392,135990,0.010101
003392,005870,0.010101
003392,008199,0.010101
003413,006932,0.010101
003413,007366,0.010101
003413,004798,0.010101
003413,156676,0.010101
003413,011188,0.010101
003413,003392,0.010101
003413,006867,0.010101
003413,011550,0.010101
003413,144580,0.010101
003413,004799,0.010101
003413,008099,0.010101
003413,001440,0.010101
003413,008810,0.010101
003413,007437,0.010101
003413,004517,0.010101
003413,008290,0.010101
003413,157373,0.010101
003413,012428,0.010101
003413,011554,0.010101
003413,025588,0.010101
003413,004093,0.010101
003413,007365,0.010101
003413,007974,0.010101
003413,005135,0.010101
003413,066624,0.010101
003413,009828,0.010101
003413,007824,0.010101
003413,115687,0.010101
003413,010447,0.010101
003413,005525,0.010101
003413,006397,0.010101
003413,001995,0.010101
003413,009850,0.010101
003413,156818,0.010101
003413,010507,0.010101
003413,023465,0.010101
003413,146411,0.010101
003413,005526,0.010101
003413,013948,0.010101
003413,180942,0.010101
003413,163429,0.010101
003413,008113,0.010101
003413,043737,0.010101
003413,005385,0.010101
003413,020739,0.010101
003413,026658,0.010101
003413,009846,0.010101
003413,156820,0.010101
003413,008809,0.010101
003413,160913,0.010101
003413,001742,0.010101
003413,003210,0.010101
003413,003897,0.010101
003413,008539,0.010101
003413,013353,0.010101
003413,009691,0.010101
003413,010801,0.010101
003413,008001,0.010101
003413,001075,0.010101
003413,012555,0.010101
003413,008455,0.010101
003413,065298,0.010101
003413,116304,0.010101
003413,152430,0.010101
003413,004029,0.010101
003413,009902,0.010101
003413,011304,0.010101
003413,156656,0.010101
003413,146774,0.010101
003413,065095,0.010101
003413,012612,0.010101
003413,005914,0.010101
003413,163669,0.010101
003413,008264,0.010101
003413,065092,0.010101
003413,185429,0.010101
003413,012749,0.010101
003413,156819,0.010101
003413,007977,0.010101
003413,018293,0.010101
003413,040614,0.010101
003413,006338,0.010101
003413,004331,0.010101
003413,010860,0.010101
003413,127675,0.010101
003413,155277,0.010101
003413,144646,0.010101
003413,004241,0.010101
003413,008806,0.010101
003413,001745,0.010101
003413,007970,0.010101
003413,010327,0.010101
003413,114789,0.010101
003413,005742,0.010101
003413,014580,0.010101
003413,003439,0.010101
003413,135990,0.010101
003413,005870,0.010101
003413,008199,0.010101
003439,006932,0.010101
003439,007366,0.010101
003439,004798,0.010101
003439,156676,0.010101
003439,011188,0.010101
003439,003392,0.010101
003439,006867,0.010101
003439,011550,0.010101
003439,144580,0.010101
003439,004799,0.010101
003439,008099,0.010101
003439,001440,0.010101
003439,008810,0.010101
003439,007437,0.010101
003439,004517,0.010101
003439,008290,0.010101
003439,157373,0.010101
003439,012428,0.010101
003439,003413,0.010101
003439,011554,0.010101
003439,025588,0.010101
003439,004093,0.010101
003439,007365,0.010101
003439,007974,0.010101
003439,005135,0.010101
003439,066624,0.010101
003439,009828,0.010101
003439,007824,0.010101
003439,115687,0.010101
003439,010447,0.010101
003439,005525,0.010101
003439,006397,0.010101
003439,001995,0.010101
003439,009850,0.010101
003439,156818,0.010101
003439,010507,0.010101
003439,023465,0.010101
003439,146411,0.010101
003439,005526,0.010101
003439,013948,0.010101
003439,180942,0.010101
003439,163429,0.010101
003439,008113,0.010101
003439,043737,0.010101
003439,005385,0.010101
003439,020739,0.010101
003439,026658,0.010101
003439,009846,0.010101
003439,156820,0.010101
003439,008809,0.010101
003439,160913,0.010101
003439,001742,0.010101
003439,003210,0.010101
003439,003897,0.010101
003439,008539,0.010101
003439,013353,0.010101
003439,009691,0.010101
003439,010801,0.010101
003439,008001,0.010101
003439,001075,0.010101
